name,building
,yes
,yes
,yes
,yes
,house
,house
,garage
,house
,house
,house
,yes
,yes
,house
,yes
,house
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,residential
,yes
,house
,house
Albert Einstein House,house
,house
,house
,house
,house
,university
,house
,house
,house
,yes
,house
,house
Whiteley Gymnasium,yes
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
Roberts Hall,dormitory
,house
Erdman Center,university
Springdale,university
,university
,house
,university
,house
,house
,yes
Adams House,university
Princeton Theological Seminary Library,yes
Carriage House,yes
,house
Tennent Hall,university
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,yes
,yes
,house
,house
,university
,house
,garage
,house
,house
,house
The Present Day Club,yes
Lennox House,yes
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,service
,service
,terrace
,semidetached_house
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
Stony Brook Facility Well 3,yes
,apartments
,apartments
,apartments
,yes
,yes
,yes
,shed
,roof
Springdale Clubhouse,yes
,service
Nassau Swim Club,yes
,terrace
,terrace
Skillman Furniture,yes
,roof
Theater Drive Garage,university
Wawa,yes
Princeton,train_station
Effron Music Building,university
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
,yes
,yes
,yes
,yes
,yes
,yes
Forbes College,dormitory
Wallace Dance Building and Theater,university
,university
Arts Tower,university
Roots Ocean Prime,yes
The Dinky Bar & Kitchen,yes
McCarter Theater Center,yes
6,dormitory
4,dormitory
,roof
,roof
,roof
,roof
,roof
,roof
,roof
,roof
,roof
,roof
,yes
,yes
,roof
,roof
,university
Cogeneration Plant,university
,university
MacMillan,university
MacMillan Annex,university
200 Elm,yes
,yes
New South,yes
8,university
5,dormitory
7,university
Fisher Hall,university
3,dormitory
2,dormitory
1,dormitory
Dillon Gymnasium,yes
Hobey Baker Memorial Ice Rink,yes
,dormitory
Patton Hall,university
Walker Hall,dormitory
Wright Hall,dormitory
Cuyler Hall,university
1903 Hall,dormitory
Brown Hall,university
Princeton University Art Museum,yes
Dodge Hall,university
Pyne Hall,dormitory
,yes
Henry Hall,dormitory
Laughlin/1901 Hall,dormitory
Foulke Hall,university
Little Hall,university
Buyers Hall,university
Witherspoon Hall,university
Morrison Hall,university
Alexander Hall,university
,garage
,garage
,garage
,garage
,garage
,garage
,garage
,garage
,garage
,yes
,house
,house
ECP Building,university
,apartments
,apartments
,apartments
,apartments
,apartments
,apartments
,apartments
,yes
,house
,yes
,garages
,apartments
,apartments
,yes
,apartments
,apartments
,apartments
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,apartments
,apartments
,apartments
,apartments
,apartments
,apartments
,yes
,yes
,house
,house
,garage
,house
,house
,house
,residential
,residential
,garage
,garage
,garage
,yes
,house
,university
,yes
,yes
Mackay Campus Center,school
Brown Hall,dormitory
Adminstration Building,university
Miller Chapel,yes
Stuart Hall,university
,house
,house
,house
,shed
,house
West Lodge,residential
Wyman House,residential
Wyman Cottage,residential
Old Graduate College,dormitory
New Graduate College,dormitory
,house
,house
,yes
,yes
,house
,yes
,house
,yes
,yes
College Road Apartments,university
,dormitory
Templeton Hall,school
Hodge Hall,dormitory
Hodge House,university
Alexander Hall,dormitory
Scheide Hall,university
,garage
Archibald Alexander House,university
,house
,garage
,house
,dormitory
,dormitory
,dormitory
Helm Building,university
306 Alexander Street,university
294 Alexander Street,university
292 Alexander Street,university
,roof
Lakeside Garage,yes
,dormitory
Metro North,yes
350 Alexander Street,university
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
,dormitory
#2,yes
#1,yes
,yes
,yes
Jose Enrique Feliciano Hall,dormitory
Kwanza Jones,dormitory
Mannion,dormitory
,pavilion
,roof
,roof
,university
,utility
Chilled Water Plant,university
South Guard Booth,yes
Addy & Aliya Kanji,dormitory
Bloomberg Hall,dormitory
,dormitory
,dormitory
,dormitory
,yes
,university
Jadwin Hall,university
McDonnell Hall,university
Fine Hall,university
,yes
Lewis Library,yes
Peyton Hall,university
Briger Hall,university
Grousbeck,dormitory
Fu,dormitory
Hariri,dormitory
1912 Pavilion,yes
Carl Icahn Laboratory,university
Scully Hall,dormitory
Lewis Thomas Laboratory,university
Schultz Laboratory,university
,yes
,yes
Wu Hall,dormitory
Frist Health Center,university
Eno Hall,university
Feinberg Hall,university
McCosh Health Center,university
Jones Hall,university
Prospect House,university
Woolworth Hall,university
1879 Hall,university
Architecture School,university
Moffett Laboratory,university
Eric and Wendy Schmidt Hall,construction
Guyot Hall,university
Center for Jewish Life,university
Frist Campus Center,university
Terrace Club,yes
Campus Club,yes
Tower Club,yes
Cannon Dial Elm Club,yes
Robertson Hall,university
Quadrangle Club,yes
Ivy Club,yes
Cottage Club,yes
,yes
Colonial Club,yes
Tiger Inn,yes
Carl A. Fields Center,university
Sherrerd Hall,university
Mudd Library,university
E Wing,university
Laura Wooten Hall,university
McCosh Hall,university
Dickinson Hall,university
Julis Romo Rabinowitz Building,university
20 Washington Road,yes
Green Hall,university
Aaron Burr Hall,university
161 Nassau Court,university
165 Nassau Court,university
171 Nassau Court,university
,yes
,yes
,Appartment
,yes
Two Dickinson Street Co-op,detached
,house
,house
Procter House,detached
,yes
,yes
,house
,apartments
,house
,house
,house
,house
,house
,house
18-40 Edwards Place,dormitory
,university
,house
,house
,garage
,house
,house
,house
,house
Ivy Hall,yes
,house
,house
48 University Place,university
,yes
,yes
,yes
Lockhart Hall,dormitory
,apartments
36 University Place,university
Blair Hall,dormitory
Joline Hall,university
Campbell Hall,university
,university
,yes
,university
,university
,university
,yes
23 University Place,university
19 University Place,university
,yes
11 University Place,university
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
Hamilton Hall,dormitory
Madison Hall,dormitory
Holder Hall,dormitory
,retail
,retail
,retail
,retail
,retail
,retail
,yes
4 Mercer Street,university
,retail
,retail
,retail
,house
Graduate by Hilton Princeton,retail
Nassau Christian Center,church
,house
,house
,retail
,yes
Palmer Guest House,university
,house
,house
,house
,house
,house
Palmer House Cottage,university
,house
,university
,house
,retail
,retail
,house
22 Chambers Street,university
,retail
Chambers Street Garage,yes
,retail
Princeton Entrepreneurial Hub,university
,house
Dod Hall,university
Edwards Hall,university
Clio Hall,university
Whig Hall,university
Nassau Hall,university
East Pyne Hall,university
Chancellor Green,university
Henry House,university
Scheide Caldwell House,university
,yes
Stanhope Hall,university
Nassau Presbyterian Church,yes
Maclean House,university
The Kiosk,retail
,retail
,retail
,retail
,retail
,retail
,retail
Murray Theater,university
Princeton University Chapel,yes
Firestone Library,yes
,retail
Bainbridge House,yes
,retail
Garden Theater,yes
,house
,retail
Princeton United Methodist Church,church
,retail
Faherty,retail
,retail
,retail
Hermès,retail
,retail
,retail
,retail
,retail
Triumph Brewing Company,yes
,retail
,retail
,retail
,retail
,retail
Alfalfa,retail
J S Foodies,retail
,retail
Princeton Record Exchange,retail
,house
,yes
,retail
,retail
,retail
Nassau Inn,yes
,retail
,retail
,retail
,retail
,retail
,house
,apartments
,residential
illy Coffee At Earth's End Princeton,retail
,house
,house
,retail
,house
,house
,retail
,retail
,retail
,retail
,retail
,retail
,retail
,retail
Halo Pub,yes
,retail
Spring Street Garage,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
Milk Money,retail
,house
Salon 54,retail
,house
,house
,house
Fisher Hall,university
Bendheim Hall,university
Center for Statistics and Machine Learning,university
Corwin Hall,university
Wallace Hall,university
Louis A. Simpson International Building,university
Hoyt Lab,university
Princeton University Press,university
,yes
,yes
Computer Science Building,university
Friend Center,university
C Wing,university
,yes
,yes
,yes
,yes
66 William Street,university
B Wing,university
F Wing,university
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
185 Nassau Street,university
159 Nassau Street,university
177 Nassau Court,university
163 Nassau Street,university
169 Nassau Street,university
175 Nassau Street,retail
183 Nassau Street,retail
,retail
,retail
,retail
,retail
,yes
,yes
,yes
,yes
,yes
,retail
,yes
,yes
201 Nassau Street,university
,retail
Thai delight,retail
,retail
,retail
,retail
,retail
,retail
,house
Charlotte W. Newcombe Foundation,yes
,house
,house
,yes
199 Nassau Street,university
,yes
194 Nassau Street,university
,retail
,retail
,retail
,retail
,retail
,retail
,yes
,yes
Olden House,university
,yes
Craft Cleaners,retail
,retail
221 Nassau Street,university
,retail
Verizon,yes
,retail
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
Copper River Salon & Spa,retail
E Y Staats & Company,retail
St. Paul's Catholic Church,church
,house
,house
,house
Saint Paul School,school
,school
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,retail
,retail
,retail
,retail
Nassau Inn,yes
Alo Yoga,yes
,retail
,retail
,residential
,residential
,retail
,residential
,yes
,yes
,yes
Dorothea's House,yes
,house
,house
,house
,house
,residential
,residential
,yes
,house
,house
,house
Paul Robeson Center for the Arts,yes
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,garage
,yes
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,house
,yes
,house
,yes
,yes
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,house
,house
,church
,detached
,detached
,detached
Jay's Cycles,retail
,yes
,retail
,retail
锦里 SC house,retail
Princeton Violin,yes
Hoagie Haven,retail
Pizza Den,yes
BurgerRunn,retail
,retail
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,retail
,yes
,house
,retail
,house
,retail
Princeton Engine Company No. 1,yes
,yes
,house
,yes
,yes
,house
,house
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,house
,residential
,residential
,house
,house
,house
,house
,retail
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,yes
,house
,yes
,yes
,house
,yes
,yes
,house
,yes
,house
,yes
,yes
,yes
,house
,yes
,yes
,yes
,house
,house
,house
,house
,house
Kimble Funeral Home,retail
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
Mather-Hodge Funeral Home,retail
,house
,house
,house
Vandeventer Apartments,apartments
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,retail
,retail
,retail
Princeton Public Library,yes
,yes
,yes
,yes
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,yes
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,garage
,house
,residential
,yes
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,residential
Studio One60,yes
,retail
,residential
,residential
,house
,house
,yes
,house
,house
,yes
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,apartments
,semidetached_house
,semidetached_house
,apartments
,retail
,apartments
,office
,church
,residential
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
